,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> use_restart_time
,488,1958-01-01T00:00:00,1958-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output488,430.69,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart488,49.467,Andrew Kiss,2020-11-16T21:58:09,13556668,0,[],normal,44166.67,4.340277777777778,179243.06908333334,17.61429398148148,,,,4956.160000000149,5088,4358,722,0.129,2034.815233,7025.89,1999.73,"[80, 75]",sectrobin,40,30,540,80,2,63664f9973a7032e401fc910d2054937893f9e2b,2020-11-16 17:39:00 +1100,,,3162240,False
,489,1958-04-01T00:00:00,1958-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output489,444.005,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart489,50.65,Andrew Kiss,2020-11-17T02:29:17,13560828,0,[],normal,44503.04,4.373333333333333,178623.46549450548,17.553406593406592,0.1455555555555561,236357.42906319152,1.323216008651797,5304.320000000298,5088,4358,722,0.126,2005.325348,7160.09,1976.29,"[80, 75]",sectrobin,40,30,540,80,2,37a6d8e0ecfb6a78280f918fe933082a596607c1,2020-11-16 22:07:48 +1100,"ice/cice_in.nml, manifests/input.yaml, manifests/restart.yaml","['set use_restart_time  = .true. in ice/cice_in.nml', '2020-11-16 22:07:48: Run 489']",3168720,True
,490,1958-07-01T00:00:00,1958-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output490,464.174,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart490,51.873,Andrew Kiss,2020-11-17T07:02:20,13564022,0,[],normal,46281.01,4.548055555555556,183740.64024456523,18.056274909420292,0.002777777777777324,244074.91082219375,1.3283664980013212,5304.320000000298,5088,4358,722,0.125,2061.105766,7603.28,2029.71,"[80, 75]",sectrobin,40,30,540,80,2,6c12afb6ab30f55d82667d7d738540480406d293,2020-11-17 02:30:15 +1100,manifests/restart.yaml,['2020-11-17 02:30:15: Run 490'],3175200,True
,491,1958-10-01T00:00:00,1959-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output491,485.875,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart491,53.22,Andrew Kiss,2020-11-17T11:38:27,13564826,0,[],normal,46795.47,4.598611111111111,185783.10236413046,18.25698596014493,0.0033333333333329662,244047.11824711776,1.3136131065827032,5294.0800000000745,5088,4358,722,0.127,2132.159274,7638.56,2101.69,"[80, 75]",sectrobin,40,30,540,80,2,11c78f1d74a4225f2ca03c7d9f95c1fde129db83,2020-11-17 07:03:12 +1100,manifests/restart.yaml,['2020-11-17 07:03:11: Run 491'],3181680,True
,492,1959-01-01T00:00:00,1959-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output492,493.225,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart492,54.198,Andrew Kiss,2020-11-17T16:13:32,13567749,0,[],normal,46625.87,4.581944444444445,189223.3224166667,18.595057870370372,0.002777777777777324,244076.04774310818,1.2898835335194923,5294.0800000000745,5088,4358,722,0.144,2395.432295,7689.27,2353.79,"[80, 75]",sectrobin,40,30,540,80,2,55e79ac4c68a24d89051166810101c0f00e2be4c,2020-11-17 11:39:19 +1100,manifests/restart.yaml,['2020-11-17 11:39:19: Run 492'],3188160,True
,493,1959-04-01T00:00:00,1959-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output493,512.539,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart493,55.049,Andrew Kiss,2020-11-17T20:56:07,13575182,0,[],normal,47318.4,4.65,189923.57802197803,18.663873626373626,0.05972222222222179,241127.08699498675,1.2696005914920339,5335.040000000037,5088,4358,722,0.143,2410.551954,7743.21,2377.61,"[80, 75]",sectrobin,40,30,540,80,2,511905b5c69f7a1cd28ca5f0c46f2c1c83e5ea77,2020-11-17 16:28:57 +1100,"manifests/restart.yaml, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf_cycle3.csv","['2020-11-17 16:17:56: Run 493', 'add run summary']",3194640,True
,494,1959-07-01T00:00:00,1959-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output494,536.631,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart494,55.767,Andrew Kiss,2020-11-18T01:39:54,13579796,0,[],normal,47968.53,4.713888888888889,190440.2780706522,18.714651268115944,0.015833333333334032,243406.41287367122,1.2781246453723876,5335.040000000037,5088,4358,722,0.122,2095.133387,8110.28,2063.31,"[80, 75]",sectrobin,40,30,540,80,2,6a2cae57a14c28f21ac62bca5d8f7e99f00df8ed,2020-11-17 20:57:44 +1100,manifests/restart.yaml,['2020-11-17 20:57:44: Run 494'],3201120,True
,495,1959-10-01T00:00:00,1960-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output495,560.141,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart495,56.363,Andrew Kiss,2020-11-18T06:34:24,13585312,0,[],normal,49709.76,4.885,197353.15043478264,19.39398097826087,0.023333333333333428,243063.00305602717,1.2316145068905289,5335.040000000037,5088,4358,722,0.154,2723.063132,8064.52,2146.65,"[80, 75]",sectrobin,40,30,540,80,2,e803e11de19387e9a84d59af89f08ab2c40ef944,2020-11-18 01:42:06 +1100,manifests/restart.yaml,['2020-11-18 01:42:06: Run 495'],3207600,True
,496,1960-01-01T00:00:00,1960-04-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output496,572.977,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart496,56.735,Andrew Kiss,2020-11-18T11:13:44,13586876,0,[],normal,47329.71,4.651111111111111,189968.97337912087,18.66833333333333,0.004444444444445139,243990.8677804296,1.2843721974192979,5324.799999999814,5088,4358,722,0.122,2054.693802,8112.37,2021.15,"[80, 75]",sectrobin,40,30,540,80,2,69ea64b45221a1a28695c0cc87a9014b30cfd342,2020-11-18 09:02:35 +1100,"manifests/restart.yaml, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf_cycle3.csv","['2020-11-18 06:35:40: Run 496', 'update run summary']",3214080,True
,497,1960-04-01T00:00:00,1960-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output497,585.085,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart497,57.054,Andrew Kiss,2020-11-18T15:52:12,13593720,0,[],normal,47058.35,4.624444444444444,188879.8059065934,18.561300366300365,0.016666666666666607,243346.98587502993,1.2883695253020968,5355.519999999553,5088,4358,722,0.12,2023.325713,8045.59,1991.57,"[80, 75]",sectrobin,40,30,540,80,2,9226ba48c4ed34b8a079fe1ca82a31454408ec69,2020-11-18 11:15:31 +1100,"manifests/restart.yaml, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf_cycle3.csv",['2020-11-18 11:15:31: Run 497'],3220560,True
